Date,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,TURNOVER,PE_RATIO,PX_TO_BOOK_RATIO,BID,ASK,BID_ASK_SPREAD_RATIO,PX_TO_SALES_RATIO,HIGH_52WEEK,LOW_52WEEK,HIGH_LIFETIME,LOW_LIFETIME,EQY_FLOAT,NET_REV,IS_TOTAL_OPERATING_REVENUE,IS_OPERATING_EXPN,GROSS_PROFIT,PROF_MARGIN,IS_TOTAL_OPERATING_REVENUE,IS_INT_EXPENSE,IS_INT_INC,NET_INCOME,IS_ADJ_PRETAX_INCOME,CF_FREE_CASH_FLOW,NET_DEBT,NET_DEBT_TO_EBITDA,EBITDA,WORKING_CAPITAL,TOTAL_INVESTED_CAPITAL,PX_TO_CASH_FLOW,EQY_DVD_SPL_EX_FLAG
9/1/2010,4.138,3.92,3.924,4.09,2478425,9978903,#N/A N/A,#N/A N/A,4.088,4.102,#N/A Invalid Field,#N/A N/A,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,72.95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field
9/2/2010,4.248,4.062,4.074,4.212,2435300,10146190,#N/A N/A,#N/A N/A,4.198,4.212,#N/A Invalid Field,#N/A N/A,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,72.95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field
9/3/2010,4.26,4.132,4.174,4.21,2173780,9157092,#N/A N/A,#N/A N/A,4.21,4.212,#N/A Invalid Field,#N/A N/A,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,72.95,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field
9/4/2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field,#N/A N/A,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field
9/5/2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field,#N/A N/A,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field
9/6/2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field,#N/A N/A,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field
9/7/2010,4.2,4.1,4.122,4.108,1216675,5031837,#N/A N/A,#N/A N/A,4.108,4.128,#N/A Invalid Field,#N/A N/A,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,72.95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field
9/8/2010,4.19,4.12,4.132,4.18,1441910,5993876,#N/A N/A,#N/A N/A,4.164,4.18,#N/A Invalid Field,#N/A N/A,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,72.95,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field
9/9/2010,4.21,4.138,4.2,4.142,1880985,7828332,#N/A N/A,#N/A N/A,4.142,4.15,#N/A Invalid Field,#N/A N/A,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,72.95,#N/A N/A,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field
9/10/2010,4.186,3.952,4.15,4.034,1932855,7849002,#N/A N/A,#N/A N/A,4.036,4.038,#N/A Invalid Field,#N/A N/A,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,#N/A Invalid Field,72.95,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Field
